y,age,puissance,ville,rouge,age_permis
0,32.65735927,0,1,0,14.1065541
0,20.22493299,0,1,0,0.00292915
1,23.32970035,0,1,0,3.172457987
0,32.89053908,1,1,0,5.244957407
0,23.94629087,0,1,0,4.862413271
0,27.06540015,1,0,0,5.526279442
0,18.09169505,0,1,0,0.035595308
1,24.46191441,0,0,0,6.337973825
0,28.5204114,0,1,0,9.377669152
0,22.01217183,0,1,0,3.920210994
0,26.24656,1,1,0,0.491915306
0,23.86660619,0,1,1,1.570771991
0,25.07400386,0,0,0,6.930946108
0,22.87045173,0,1,0,2.600255602
0,27.14636889,0,1,0,0.223162342
0,27.35871869,0,1,0,7.988651079
0,32.37907182,1,0,0,13.83434206
0,22.39642178,0,1,0,4.295096319
0,28.81619835,0,1,0,10.62302443
0,18.60091623,0,0,0,0.585398553
0,30.199383,0,0,0,3.979529604
0,32.61341999,0,0,0,14.41027121
0,20.12194352,1,1,0,1.721532401
1,26.84268495,0,1,0,5.149038337
0,35.22559927,0,1,0,10.38258463
0,33.29822608,1,1,0,9.193371484
0,29.98598641,0,1,0,11.94013387
0,51.9103363,0,1,0,8.282536339
0,27.33403041,0,1,0,8.392691972
0,22.92020604,0,1,0,3.447815981
0,19.22520308,0,1,0,1.088738825
0,21.43642833,0,1,1,0.14427364
1,19.73662927,0,0,0,0.736189242
0,18.56794169,0,1,0,0.516287471
0,30.56083532,1,1,0,11.84884758
0,25.20449103,0,1,0,6.774930509
0,20.67349651,0,1,0,0.56986779
0,30.04414724,0,0,0,4.267167981
0,18.37162699,0,1,0,0.240360578
0,19.49980754,0,1,0,1.445422523
0,26.07115621,0,1,0,0.049458518
0,29.87717712,1,1,0,0.7125022
0,29.80222948,0,1,0,4.56020448
0,24.52032894,0,0,0,3.065672732
1,24.80870592,0,1,0,5.774233985
0,27.47526159,0,1,0,1.472093144
0,18.70598543,1,1,0,0.705832706
0,20.09983857,0,1,0,1.912368595
0,28.78260013,0,1,0,7.351886922
0,31.940174,1,1,0,12.79780649
1,18.64870665,1,1,0,0.647475511
0,20.73488522,1,0,0,2.432546751
0,18.92017718,0,1,0,0.330941755
0,31.44560425,0,1,0,13.31822644
0,22.54302164,1,1,1,4.292660623
1,27.93856101,0,1,0,1.911180945
0,29.58602715,0,1,0,10.13551395
0,24.10298013,0,1,0,3.988998776
0,21.82960104,0,0,0,2.661315194
0,30.79606985,0,1,0,12.36288646
0,24.65186308,0,0,0,3.363461956
0,18.50068555,1,1,0,0.500653535
0,27.04677645,0,0,0,7.97691797
0,18.924168,0,1,1,0.882777215
0,26.57629055,1,1,0,8.388357995
0,26.02648952,0,0,0,6.563324102
0,22.67517912,0,1,0,3.610191148
0,44.52503606,0,1,0,24.29060244
0,18.99893979,0,1,0,0.868619904
0,20.87651861,1,1,1,2.864259314
0,36.66653371,0,1,0,5.262289283
0,18.38841582,0,1,0,0.125040307
0,19.26685985,0,0,0,1.266470518
0,43.60294746,0,0,0,22.09851231
1,23.3100733,0,1,0,1.343405691
1,20.46636511,0,1,1,0.852294082
0,32.98115318,0,0,0,14.87082922
0,23.26811222,1,0,0,2.956285098
0,37.69777525,0,1,0,10.92914406
0,25.31062479,0,1,0,7.221936523
0,20.31397118,0,1,0,0.935311731
1,32.34190255,0,0,0,9.196409189
0,30.91025532,0,0,0,12.63722809
0,18.00806881,0,1,0,0.007630137
1,18.51921631,0,1,0,0.394075188
0,29.7587286,0,0,0,7.207856702
0,32.37812079,0,1,0,0.1978733
0,22.67854588,0,1,0,2.470408998
0,20.39733215,0,0,0,2.397247793
0,21.34595202,0,0,0,3.324403746
0,18.29944365,0,1,0,0.299242674
0,31.77107947,0,1,0,13.76886553
0,23.44988183,0,0,0,3.017917402
0,38.22619655,0,0,0,0.182359766
0,19.68056057,0,1,0,0.881033658
0,20.45392808,1,1,0,2.397274593
0,21.95751157,1,1,0,3.051620304
0,29.48196939,0,1,0,6.235012395
0,32.12316435,0,1,0,3.177721122
0,26.65030895,0,1,0,4.991076972
0,21.24442309,0,1,0,1.884241816
0,20.86222725,0,1,1,2.859200384
0,24.30934912,0,1,0,5.247548831
0,21.14274186,0,1,0,0.384087881
1,20.01417469,0,1,0,1.419902134
0,21.71528666,0,1,0,2.801309803
0,40.27680089,0,1,1,21.93292647
0,46.80374083,0,1,0,3.723649653
0,25.39495958,1,1,0,7.221790598
0,20.55361438,1,0,1,1.99434331
1,19.0796104,0,0,0,0.85315789
0,20.46971958,0,1,0,0.867200358
0,34.92367372,0,1,0,16.51080992
1,18.00930291,1,1,0,0.003190218
0,22.34972608,0,0,0,0.08137754
0,28.16077603,0,0,0,9.512095904
0,25.50267562,0,0,0,3.011515787
0,40.88617155,0,0,0,20.64374989
0,25.33517304,0,0,1,6.787811666
0,21.96278099,0,0,0,3.947896003
0,23.4270306,0,1,0,5.204550559
0,19.6665578,0,1,0,1.663814344
0,23.74478971,0,1,0,4.178110218
1,19.68751567,0,1,0,0.582721969
0,20.33071542,0,1,1,0.105954727
0,35.68578066,0,1,0,4.216230506
0,19.22719144,0,0,0,1.109083669
0,19.5751976,0,1,0,1.433150334
1,21.18735066,0,1,0,3.185381018
0,91.14998318,0,1,0,65.75628003
0,26.59609447,0,0,0,4.414028841
0,19.87143877,0,1,0,1.866585215
0,25.01815269,0,1,0,6.141522615
0,20.41187379,0,0,0,0.754264095
0,22.59364791,0,0,0,4.443563465
0,21.34840122,0,1,0,3.333981443
0,23.96725476,1,0,0,2.147283977
